mz_rt,b1,b3,FC_post_div_pre,p,log2_FC_post_div_pre,neglog10p,mz,rt,MPA,Cluster_ID,Cluster_features,Cluster_size
1649.3448_9.904,7063.888897937337,8821.961030239077,1.2488816228147501,0.00217,0.32063673533515313,2.6635402661514704,1649.3448,9.904,8913.276,1649.3448_9.904,1649.3448_9.904,1
1677.4008_11.264,3231.4005435457116,4012.825598282955,1.241822406169373,0.0463,0.3124588675531516,1.334419008982047,1677.4008,11.264,4133.451,1677.4008_11.264,1677.4008_11.264,1
1678.4082_11.291,2435.8653715137057,2977.330915594469,1.222288780986399,0.0259,0.28958518014594165,1.586700235918748,1678.4082,11.291,3000.4443,1678.4082_11.291,1678.4082_11.291,1
188.0707_0.633,44052.42947507876,37303.15404182734,0.8467899384057899,0.0142,-0.23992396760410473,1.8477116556169435,188.0707,0.633,37075.645,188.0707_0.633,188.0707_0.633,1
205.1221_0.621,4458.067159084887,3744.6922497703204,0.8399811209975128,0.00564,-0.25157119193565686,2.248720896016658,205.1221,0.621,3984.055,205.1221_0.621,205.1221_0.621,1
247.1441_0.636,46660.204000989404,24617.858339000766,0.527598600693618,0.0197,-0.9224873566342487,1.705533773838407,247.1441,0.636,25127.975,247.1441_0.636,247.1441_0.636,1
286.1437_1.13,22399.663324880716,88541.30802625611,3.9527963765378433,1.07e-4,1.9828736384043153,3.9706162223147903,286.1437,1.13,60980.496,Cluster_286.1437_1.13,286.1437_1.13;308.1256_1.117,2
286.2013_0.633,36162.493266460064,45643.51703201828,1.2621783762446397,0.0366,0.33591581233182877,1.4365189146055892,286.2013,0.633,45042.406,286.2013_0.633,286.2013_0.633,1
308.1855_0.633,885.1394867622546,12070.642641184282,13.636994871099244,1.75e-7,3.769453853455915,6.756961951313706,308.1855,0.633,5495.2344,308.1855_0.633,308.1855_0.633,1
312.1597_1.413,3138.66860894042,14791.368806982666,4.712625208296861,9.32e-6,2.2365309494135115,5.030584087646019,312.1597,1.413,10710.363,Cluster_312.1597_1.413,312.1597_1.413;399.2641_1.416;413.2797_1.415,3
316.2483_0.679,209829.84644132084,159499.88645724714,0.7601391754430487,0.0107,-0.3956645061481659,1.9706162223147903,316.2483,0.679,172856.69,316.2483_0.679,316.2483_0.679,1
